Number of message created : 49501
G60 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G61 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G62 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G63 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G64 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G65 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G66 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G67 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G68 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G69 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G70 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G71 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G72 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G73 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G74 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G75 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G76 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G77 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G78 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G79 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G80 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G81 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G82 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G83 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G84 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G85 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G86 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G87 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G88 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
G89 : {G0=2390000.0, G1=2465000.0, G10=2490000.0, G11=1670000.0, G12=1985000.0, G13=1875000.0, G14=2440000.0, G15=2240000.0, G16=2185000.0, G17=2285000.0, G18=2460000.0, G19=2425000.0, G2=2495000.0, G20=2325000.0, G21=2160000.0, G22=2420000.0, G23=2485000.0, G24=2450000.0, G25=2455000.0, G26=2400000.0, G27=2295000.0, G28=2370000.0, G29=2410000.0, G3=2445000.0, G30=2090000.0, G31=2175000.0, G32=2170000.0, G33=2380000.0, G34=2475000.0, G35=2125000.0, G36=1730000.0, G37=2225000.0, G38=2480000.0, G39=2435000.0, G4=2470000.0, G40=1845000.0, G41=1695000.0, G42=2350000.0, G43=1900000.0, G44=2200000.0, G45=2320000.0, G46=2205000.0, G47=1935000.0, G48=2250000.0, G49=2030000.0, G5=2355000.0, G6=2395000.0, G7=2255000.0, G8=2275000.0, G9=2430000.0}
